labels,file_names
1,img_rgb_00000.png
9,img_rgb_00001.png
2,img_rgb_00002.png
3,img_rgb_00003.png
2,img_rgb_00004.png
5,img_rgb_00005.png
9,img_rgb_00006.png
3,img_rgb_00007.png
3,img_rgb_00008.png
1,img_rgb_00009.png
3,img_rgb_00010.png
3,img_rgb_00011.png
2,img_rgb_00012.png
8,img_rgb_00013.png
7,img_rgb_00014.png
4,img_rgb_00015.png
4,img_rgb_00016.png
1,img_rgb_00017.png
2,img_rgb_00018.png
8,img_rgb_00019.png
1,img_rgb_00020.png
6,img_rgb_00021.png
2,img_rgb_00022.png
3,img_rgb_00023.png
6,img_rgb_00024.png
3,img_rgb_00025.png
4,img_rgb_00026.png
2,img_rgb_00027.png
5,img_rgb_00028.png
8,img_rgb_00029.png
1,img_rgb_00030.png
6,img_rgb_00031.png
2,img_rgb_00032.png
3,img_rgb_00033.png
7,img_rgb_00034.png
9,img_rgb_00035.png
5,img_rgb_00036.png
3,img_rgb_00037.png
2,img_rgb_00038.png
2,img_rgb_00039.png
2,img_rgb_00040.png
6,img_rgb_00041.png
2,img_rgb_00042.png
2,img_rgb_00043.png
5,img_rgb_00044.png
1,img_rgb_00045.png
5,img_rgb_00046.png
4,img_rgb_00047.png
7,img_rgb_00048.png
8,img_rgb_00049.png
9,img_rgb_00050.png
6,img_rgb_00051.png
10,img_rgb_00052.png
1,img_rgb_00053.png
2,img_rgb_00054.png
4,img_rgb_00055.png
5,img_rgb_00056.png
6,img_rgb_00057.png
5,img_rgb_00058.png
2,img_rgb_00059.png
1,img_rgb_00060.png
3,img_rgb_00061.png
2,img_rgb_00062.png
1,img_rgb_00063.png
4,img_rgb_00064.png
6,img_rgb_00065.png
3,img_rgb_00066.png
8,img_rgb_00067.png
4,img_rgb_00068.png
3,img_rgb_00069.png
1,img_rgb_00070.png
4,img_rgb_00071.png
4,img_rgb_00072.png
2,img_rgb_00073.png
6,img_rgb_00074.png
4,img_rgb_00075.png
4,img_rgb_00076.png
1,img_rgb_00077.png
1,img_rgb_00078.png
1,img_rgb_00079.png
7,img_rgb_00080.png
3,img_rgb_00081.png
1,img_rgb_00082.png
2,img_rgb_00083.png
10,img_rgb_00084.png
4,img_rgb_00085.png
2,img_rgb_00086.png
2,img_rgb_00087.png
5,img_rgb_00088.png
1,img_rgb_00089.png
2,img_rgb_00090.png
9,img_rgb_00091.png
2,img_rgb_00092.png
10,img_rgb_00093.png
4,img_rgb_00094.png
1,img_rgb_00095.png
10,img_rgb_00096.png
3,img_rgb_00097.png
2,img_rgb_00098.png
7,img_rgb_00099.png
2,img_rgb_00100.png
4,img_rgb_00101.png
4,img_rgb_00102.png
6,img_rgb_00103.png
8,img_rgb_00104.png
1,img_rgb_00105.png
7,img_rgb_00106.png
1,img_rgb_00107.png
10,img_rgb_00108.png
3,img_rgb_00109.png
9,img_rgb_00110.png
1,img_rgb_00111.png
3,img_rgb_00112.png
5,img_rgb_00113.png
9,img_rgb_00114.png
3,img_rgb_00115.png
1,img_rgb_00116.png
1,img_rgb_00117.png
1,img_rgb_00118.png
1,img_rgb_00119.png
3,img_rgb_00120.png
7,img_rgb_00121.png
5,img_rgb_00122.png
6,img_rgb_00123.png
