epoch,loss,val_loss
0,0.014476145468828158,0.008266420376780576
1,0.007392563497029183,0.006743844008990557
2,0.006330572506688274,0.005952949696671508
3,0.005915495766712411,0.005479402551084432
4,0.0053664347724385695,0.0058694700907412686
5,0.005158378490238542,0.004861943948490477
6,0.0048615509891981054,0.005279318413647631
7,0.004737963856796933,0.004570357950650776
8,0.0045880473783974675,0.004752856539498816
9,0.004548825123023868,0.00451518382018211
10,0.004383263688632209,0.004549020533494418
11,0.004358144119359125,0.004685458607748049
12,0.004232838526022289,0.004618923834780432
13,0.0041914109089690775,0.004122969792586577
14,0.004187957257870119,0.004270024844769281
15,0.004109981897733733,0.0045070052407377
16,0.004021415596012687,0.004040084836755512
17,0.003979122770227334,0.004075104797939995
18,0.003995469819097529,0.004060430319136133
19,0.003926639213323499,0.004224975754114282
20,0.003910299348237505,0.004454272057820432
21,0.0036152164887615,0.0037232555076098742
22,0.0035692627333126455,0.003708262207421079
23,0.0035564664677080987,0.0036968413319840195
24,0.0035466154159726647,0.0036818819196124805
25,0.00353717545926925,0.003676898483667233
26,0.0035281093269287672,0.0036705091975548013
27,0.003519583599062377,0.0036629673695804154
28,0.003510503343273622,0.003641347972915024
29,0.0035014033467796186,0.003630441772315707
